match_id,date,opponent,venue_type,competition,result,final_score,goals_scored,goals_conceded,possession_pct,total_shots,goalkeeper_saves,corners,fouls,total_passes,tackles,yellow_cards,shots_on_target,accurate_passes,interceptions,clearances,pass_accuracy_pct,goal_times,goal_scorers,assists,goal_conceded_times,red_cards
13385903,2025-07-01,Al-Hilal,home,"FIFA Club World Cup, Knockout stage",L,3-4,3,4,69.0,30,2,19,17,826,19,3,15,764,5,22,92.5,"[16, 53, 107]","['Bernardo Silva', 'Erling Haaland', 'Phil Foden']","['İlkay Gündoğan', 'Rayan Cherki']","[45, 54, 84, 102]",
13385903,2025-07-01,Al-Hilal,home,"FIFA Club World Cup, Knockout stage",L,3-4,3,4,69.0,30,2,19,17,826,19,3,15,764,5,22,92.5,"[16, 53, 107]","['Bernardo Silva', 'Erling Haaland', 'Phil Foden']","['İlkay Gündoğan', 'Rayan Cherki']","[45, 54, 84, 102]",
13200232,2025-06-26,Juventus,away,"FIFA Club World Cup, Group G",W,2-6,6,2,76.0,24,0,6,10,769,12,0,11,717,5,2,93.2,"[8, 54, 60, 78]","['Jérémy Doku', 'Erling Haaland', 'Phil Foden', 'Savinho']","['Rayan Aït-Nouri', 'Matheus Nunes', 'Savinho']","[2, 32]",
13200232,2025-06-26,Juventus,away,"FIFA Club World Cup, Group G",W,2-5,5,2,76.0,24,0,6,10,769,12,0,11,717,5,2,93.2,"[8, 54, 60, 78]","['Jérémy Doku', 'Erling Haaland', 'Phil Foden', 'Savinho']","['Rayan Aït-Nouri', 'Matheus Nunes', 'Savinho']","[2, 32]",
13200294,2025-06-23,Al-Ain,home,"FIFA Club World Cup, Group G",W,7-1,7,1,74.0,21,1,9,11,753,14,1,11,709,7,7,94.2,"[10, 42, 76]","['İlkay Gündoğan', 'Erling Haaland', 'İlkay Gündoğan']",['Bernardo Silva'],[32],
13200294,2025-06-23,Al-Ain,home,"FIFA Club World Cup, Group G",W,6-1,6,1,74.0,21,1,9,11,753,14,1,11,709,7,7,94.2,"[10, 42, 76]","['İlkay Gündoğan', 'Erling Haaland', 'İlkay Gündoğan']",['Bernardo Silva'],[32],
13200275,2025-06-18,Wydad Casablanca,home,"FIFA Club World Cup, Group G",W,2-1,2,1,68.0,15,0,9,10,616,7,0,6,559,4,17,90.7,"[-4, 51]","['Phil Foden', 'Jérémy Doku']",['Phil Foden'],[],1.0
